"#","Artist","Track Title","Duration","Genre","BPM","Key","Time/Setting","Journey Role","Crowd State","Notes"
59,"Verboten Berlin","Symmetry (Rodriguez Jr. Remix)","06:13","Deep House","120.50","11A","","","",""
60,"Agoria, Rami Khalife, Noémie","Teardrops (Don't Stop The Music) (Original Mix)","06:09","Melodic House & Techno","124.00","5B","","","",""
61,"Bob Moses","Tearing Me Up (Original Mix)","07:50","Dance / Electro Pop","115.00","7A","","","",""
62,"Outkast, Sleepy Brown","The Way You Move (Original Mix)","03:54","Trap / Future Bass","126.00","5A","","","",""
63,"Perrez","There's Never Been (No One Like You)(P's Sunrise Edit)","05:42","","117.72","10B","","","",""
64,"Shura","Touch (Four Tet Remix)","04:35","Electronica","122.00","8B","","","",""
65,"Radiohead","Videotape (Original Mix)","04:42","Electronica","154.77","12A","","","",""
66,"Eli & Fur","Walk The Line (Extended Mix)","04:56","Melodic House & Techno","123.00","9A","","","",""
67,"Eli & Fur","Walk The Line (Themba Extended Mix)","06:21","Melodic House & Techno","122.00","9A","","","",""
68,"Mario Basanov","We Are Child Of Love (The Mekanism Remix)","06:25","Deep House","120.00","12A","","","",""
69,"Portrait","What Can I Do","02:25","","122.00","8A","","","",""
70,"Ben Pearce","What I Might Do","03:14","Dance","122.00","5A","","","",""
71,"Shakka","When Will I See You Again (Amtrac Remix)","06:31","Nu Disco / Disco","125.00","5B","","","",""
72,"J. Koen","Where the Subtle Meets Infinity (Original Mix)","05:47","Deep House","123.00","1A","","","",""
73,"Nico de Andrea","Wish We Could feat. Syon & Darla Jade (Extended Mix)","05:26","House","120.00","3A","","","",""
